OBJECTID,BASE_NAME,CREATION_DATE,NOTES,BORDER_TYPE,PERIMETER_KM,AREA_METER2
1,Area Mike Mike,1899-12-30,,MARITIME_AIRSPACE,515.457,12080514.064
2,Area Hotel Hotel,1899-12-30,,MARITIME_AIRSPACE,726.39,24864684.327
3,Area Alpha,1899-12-30,,MARITIME_AIRSPACE,369.243,5289813.106
4,Gesaji Water Area,1899-12-30,,MARITIME,32.139,3458.973
5,Northern Water Area,1899-12-30,,MARITIME,5.737,1549.625
6,Awase Communication Station Water Area,1899-12-30,,MARITIME,7.9,2078.755
7,Tsuken Jima Water Area,1899-12-30,,MARITIME,16.08,11597.338
8,Kin Red Beach Water Area,1899-12-30,,MARITIME,11.109,1645.638
9,Camp Schwab Water Area,1899-12-30,,MARITIME,64.725,146168.525
10,Camp Hansen Water Area,1899-12-30,,MARITIME,2.4,313.39
11,Army POL Depots Water Area,1899-12-30,,MARITIME,7.011,797.891
12,Camp Courtney Water Area,1899-12-30,,MARITIME,9.097,2669.571
13,Tengan Pier Water Area,1899-12-30,,MARITIME,13.357,8467.289
14,White Beach Water Area,1899-12-30,,MARITIME,115.193,407843.014
15,Kobi Sho Water Area and Airspace,1899-12-30,,MARITIME_AIRSPACE,38.841,96590.224
16,Taisho Jima Water Area and Airspace,1899-12-30,,MARITIME_AIRSPACE,37.525,97554.59
17,Kume Jima Water Area,1899-12-30,,MARITIME_AIRSPACE,28.718,65629.49
18,Area India India,1899-12-30,,MARITIME_AIRSPACE,702.265,28824627.793
19,Ukibaru Jima Water Area,,,MARITIME,10.613,3264.873
20,Ie Jima Water Area,,,MARITIME,26.087,30563.425
21,Kin Blue Beach Water Area,1899-12-30,,MARITIME,10.326,2895.337
22,Tori Shima Water Area and Airspace,1899-12-30,,MARITIME_AIRSPACE,34.918,97022.234
23,Area Hotel Hotel,1899-12-30,,MARITIME_AIRSPACE,726.39,24864684.339
24,Area Alpha,1899-12-30,,MARITIME_AIRSPACE,369.243,5289813.111
25,Kume Jima Air Space,1899-12-30,,AIRSPACE,103.979,580195.138
26,Northern Okinawa Range,1899-12-30,,AIRSPACE,470.837,13630566.737
27,Southern Okinawa Range,1899-12-30,,AIRSPACE,468.532,14206386.523
28,Area India India,1899-12-30,,MARITIME_AIRSPACE,697.487,28826101.877
29,Tori Shima Water Area and Airspace,1899-12-30,,MARITIME_AIRSPACE,34.918,97022.234
30,Area Mike Mike,1899-12-30,,MARITIME_AIRSPACE,515.457,12080514.055
31,Area Golf Golf,1899-12-30,,AIRSPACE,487.38,13828608.888
32,Ie Jima Air Space (Area 2),1899-12-30,,AIRSPACE,135.384,1194229.401
33,Ie Jima Air Space (Area 1),1899-12-30,,AIRSPACE,63.905,242861.596
34,Ie Jima Air Space (Area 1) DIVISION,1899-12-30,,AIRSPACE,63.994,243963.498
35,Kobi Sho Water Area and Airspace,1899-12-30,,MARITIME_AIRSPACE,35.025,97615.822
36,Taisho Jima Water Area and Airspace,1899-12-30,,MARITIME_AIRSPACE,35.024,97608.442
37,Idesuna Jima Airspace,1899-12-30,,MARITIME,116.665,801872.123
38,Oki Daito Jima Water Area and Air Space,,,MARITIME_AIRSPACE,35.87,102388.213
